candidate_id,fold,days,trades,total_return,annualized_return,annualized_volatility,sharpe,max_drawdown,win_rate,payoff_ratio,profit_factor,exposure,max_abs_net_exposure,turnover
sig-continuation-l20-q05-c3__risk-k1-r32-x30-s0.75-a2-t2.5,1,54,60,-0.027573439375114694,-0.12232891258828493,0.03235052688535803,-4.0164926137021855,0.02937526029019788,0.23333333333333334,1.6379269284844444,0.49849949997352655,0.1058282208588957,0.3,36.016941170790794
sig-continuation-l20-q05-c3__risk-k1-r32-x30-s0.75-a3-t3,1,54,60,-0.028711717595637065,-0.12711298950351768,0.03317489238077419,-4.0805524118459635,0.030511429381262056,0.23333333333333334,1.5886719614619578,0.4835088578362481,0.11765994741454865,0.3,36.014315093044914
sig-continuation-l20-q05-c3__risk-k1-r32-x30-s1-a2-t2.5,1,54,59,-0.033830098896792116,-0.1483724845215154,0.03471044067030797,-4.608487105002214,0.036880433371570986,0.2542372881355932,1.3916016269808587,0.4744096455616564,0.1226555652936021,0.3,35.42400771497822
sig-continuation-l20-q05-c3__risk-k1-r32-x30-s1-a3-t3,1,54,59,-0.0337489685806418,-0.14803871014883707,0.03393435689746814,-4.703122012127949,0.036247513309912605,0.2711864406779661,1.2636120136633278,0.47018121438635446,0.1350131463628396,0.3,35.422864844940534
sig-continuation-l20-q05-c3__risk-k2-r16-x20-s0.75-a2-t2.5,1,54,219,-0.024159429332872073,-0.1078564774681523,0.016696390065187746,-6.825763994664292,0.024884334357739513,0.2420091324200913,1.7630970512157367,0.562916528400205,0.12190811036169255,0.2,44.747772868498906
sig-continuation-l20-q05-c3__risk-k2-r16-x20-s0.75-a3-t3,1,54,219,-0.025522447041296803,-0.11365679783411953,0.01675985235731224,-7.188865322047674,0.02624633954586575,0.2420091324200913,1.685862535289902,0.5382573154841254,0.12207436908113965,0.2,44.74640916894071
sig-continuation-l20-q05-c3__risk-k2-r16-x20-s1-a2-t2.5,1,54,215,-0.022286183058779274,-0.0998362654470466,0.015852218047455548,-6.625781918637453,0.024021194190640638,0.27906976744186046,1.6151117479318184,0.6252045475865103,0.14765360248984485,0.2,43.93579722131278
sig-continuation-l20-q05-c3__risk-k2-r16-x20-s1-a3-t3,1,54,215,-0.023649200767204004,-0.1056775453231994,0.016098782345112625,-6.928284840979439,0.025383523156579657,0.27906976744186046,1.5558955437437512,0.602282145965323,0.14781986120929197,0.2,43.93443352175458
sig-continuation-l20-q05-c3__risk-k2-r16-x30-s0.75-a2-t2.5,1,54,219,-0.036239143999308054,-0.15823669880583668,0.02519472604840438,-6.822303083167425,0.03731264265281031,0.2420091324200913,1.763097051215737,0.5629165284002051,0.18286216554253878,0.3,67.12165930274836
sig-continuation-l20-q05-c3__risk-k2-r16-x30-s0.75-a3-t3,1,54,219,-0.03828367056194515,-0.1665377113140164,0.025304346731570036,-7.184013923353951,0.03935489189063346,0.2420091324200913,1.6858625352899022,0.5382573154841254,0.18311155362170944,0.3,67.11961375341104
sig-continuation-l20-q05-c3__risk-k2-r16-x30-s1-a2-t2.5,1,54,215,-0.03342927458816891,-0.14672247168220376,0.023940280141016398,-6.613925401027888,0.03602269002597047,0.27906976744186046,1.6151117479318187,0.6252045475865105,0.22148040373476727,0.3,65.90369583196916
sig-continuation-l20-q05-c3__risk-k2-r16-x30-s1-a3-t3,1,54,215,-0.035473801150805895,-0.15511266457138528,0.024324563087985057,-6.915037883724325,0.038065667309445494,0.27906976744186046,1.555895543743751,0.602282145965323,0.2217297918139379,0.3,65.90165028263186
sig-continuation-l20-q05-c3__risk-k2-r32-x20-s0.75-a2-t2.5,1,54,112,-0.015156468274969193,-0.06879112703347379,0.014762822195274583,-4.819850322958878,0.016525013314088066,0.21428571428571427,2.0326676248494935,0.5543638976862255,0.07805630951664047,0.2,24.343061224168125
sig-continuation-l20-q05-c3__risk-k2-r32-x20-s0.75-a3-t3,1,54,112,-0.016375678187575793,-0.07415871806348195,0.01536233825925522,-5.007362544912655,0.0177425290045935,0.21428571428571427,1.9117539176159308,0.521387432077072,0.08181866066630301,0.2,24.34144289538932
sig-continuation-l20-q05-c3__risk-k2-r32-x20-s1-a2-t2.5,1,54,110,-0.020513242369513462,-0.09219343054265228,0.01628316456586189,-5.9309824532499995,0.021918159182508057,0.23636363636363636,1.5925001960755505,0.492916727356718,0.08140243887313135,0.2,23.945221472857927
sig-continuation-l20-q05-c3__risk-k2-r32-x20-s1-a3-t3,1,54,110,-0.02134176314210323,-0.09577135716788943,0.016592392042766878,-6.058059075267816,0.022623196177187666,0.24545454545454545,1.4440081705565733,0.4697375976509335,0.08534123366473904,0.2,23.94411813076239
sig-continuation-l20-q05-c3__risk-k2-r32-x30-s0.75-a2-t2.5,1,54,112,-0.02273470241245379,-0.10176171644047882,0.02221840390268303,-4.818285728708658,0.024770309478773234,0.21428571428571427,2.0326676248494935,0.5543638976862255,0.1170844642749607,0.3,36.514591836252194
sig-continuation-l20-q05-c3__risk-k2-r32-x30-s0.75-a3-t3,1,54,112,-0.024563517281363634,-0.109579174197322,0.02312682416179527,-5.005947064565515,0.026595314994706576,0.21428571428571427,1.9117539176159302,0.5213874320770719,0.1227279909994545,0.3,36.51216434308398
sig-continuation-l20-q05-c3__risk-k2-r32-x30-s1-a2-t2.5,1,54,110,-0.030769863554270138,-0.13571115072856055,0.02453928951365541,-5.929680698202718,0.03285572849862006,0.23636363636363636,1.5925001960755505,0.492916727356718,0.122103658309697,0.3,35.917832209286885
sig-continuation-l20-q05-c3__risk-k2-r32-x30-s1-a3-t3,1,54,110,-0.0320126447131549,-0.14087070852645855,0.025009662977534465,-6.056968593777524,0.03391259207396813,0.24545454545454545,1.4440081705565733,0.4697375976509335,0.12801185049710856,0.3,35.916177196143586
sig-continuation-l40-q05-c2__risk-k1-r16-x20-s0.75-a2-t2.5,1,54,111,-0.02606018146719502,-0.11593695788593705,0.026422044046635354,-4.6496906753543605,0.02851164135953932,0.24324324324324326,1.7634873212948292,0.5668352104161951,0.11419807186678353,0.2,44.42087007320599
sig-continuation-l40-q05-c2__risk-k1-r16-x20-s0.75-a3-t3,1,54,111,-0.026707773227809484,-0.11867682680579483,0.026797794298134062,-4.69990033303019,0.029157951204492383,0.24324324324324326,1.7299990639781395,0.5560711277072592,0.11454864154250659,0.2,44.420222157487515
sig-continuation-l40-q05-c2__risk-k1-r16-x20-s1-a2-t2.5,1,54,109,-0.031736407326714455,-0.1397259726515211,0.024691729264304935,-6.081397013492396,0.036147889969033176,0.25688073394495414,1.555874089172523,0.5378330184793907,0.14566170026292724,0.2,43.62694003254842
sig-continuation-l40-q05-c2__risk-k1-r16-x20-s1-a3-t3,1,54,109,-0.03238399908732892,-0.1424077256661762,0.025188333437019643,-6.084893909644777,0.03679428981902744,0.25688073394495414,1.5285925131348186,0.5284023502194436,0.1460122699386503,0.2,43.626292116829944
sig-continuation-l40-q05-c2__risk-k1-r16-x30-s0.75-a2-t2.5,1,54,111,-0.03909027220079264,-0.16979485593946697,0.03990859577916957,-4.641423046980387,0.04272517454145297,0.24324324324324326,1.7634873212948297,0.5668352104161952,0.17129710780017526,0.3,66.63130510980898
sig-continuation-l40-q05-c2__risk-k1-r16-x30-s0.75-a3-t3,1,54,111,-0.04006165984171439,-0.1737041404033014,0.040483121911284,-4.691495589642139,0.04369368072407731,0.24324324324324326,1.7299990639781404,0.5560711277072594,0.17182296231375985,0.3,66.63033323623127
sig-continuation-l40-q05-c2__risk-k1-r16-x30-s1-a2-t2.5,1,54,109,-0.04760461099007174,-0.20357052234328632,0.03731768082623179,-6.078369058929029,0.05417198243448651,0.25688073394495414,1.5558740891725231,0.5378330184793908,0.21849255039439083,0.3,65.44041004882263
