time,symbol,side,lots,price,pnl,cost
2026-05-23 10:10:00,M_IDX,STOP_LOSS_LONG,,,-1980.0,68.919
2026-05-25 21:45:00,Y_IDX,STOP_LOSS_LONG,,,-1720.0,48.468
2026-05-26 13:25:00,C_IDX,STOP_LOSS_LONG,,,-2080.0,87.3984
2026-05-27 09:45:00,HC_IDX,CLOSE_SHORT,,,1750.0,66.91499999999999
2026-05-27 09:45:00,AL_IDX,CLOSE_SHORT,,,1125.0,28.64725
2026-05-27 09:45:00,FG_IDX,OPEN_LONG,9.0,1028.0,,
2026-05-27 09:45:00,SI_IDX,OPEN_LONG,4.0,8630.0,,
2026-05-27 09:45:00,Y_IDX,OPEN_SHORT,2.0,8443.0,,
2026-05-27 09:45:00,ZN_IDX,OPEN_SHORT,1.0,24880.0,,
2026-05-27 09:45:00,RU_IDX,OPEN_SHORT,1.0,17440.0,,
2026-05-27 13:40:00,ZN_IDX,STOP_LOSS_SHORT,,,-1375.0,28.77325
2026-05-27 14:30:00,SI_IDX,STOP_LOSS_LONG,,,-1800.0,110.248
2026-05-28 09:30:00,RU_IDX,STOP_LOSS_SHORT,,,-2400.0,64.144
2026-05-28 11:30:00,FG_IDX,CLOSE_LONG,,,2160.0,198.72
2026-05-28 11:30:00,Y_IDX,CLOSE_SHORT,,,-40.0,48.445
2026-05-28 11:30:00,SI_IDX,OPEN_LONG,4.0,8525.0,,
2026-05-28 11:30:00,HC_IDX,OPEN_SHORT,5.0,3364.0,,
2026-05-28 11:30:00,C_IDX,OPEN_SHORT,8.0,2312.0,,
2026-05-28 11:30:00,CF_IDX,OPEN_SHORT,2.0,16125.0,,
2026-05-29 14:40:00,SI_IDX,CLOSE_LONG,,,-170500.0,100.0
2026-05-29 14:40:00,SR_IDX,CLOSE_SHORT,,,3570.0,38.1015
2026-05-29 14:40:00,C_IDX,CLOSE_SHORT,,,-1120.0,87.4432
2026-05-29 14:40:00,CF_IDX,CLOSE_SHORT,,,-650.0,59.714
2026-05-29 14:40:00,Y_IDX,OPEN_LONG,2.0,8519.0,,
2026-05-29 14:40:00,I_IDX,OPEN_LONG,2.0,779.5,,
2026-05-29 14:40:00,RB_IDX,OPEN_SHORT,5.0,3161.0,,
2026-05-29 14:40:00,ZN_IDX,OPEN_SHORT,1.0,24715.0,,
2026-05-30 09:30:00,ZN_IDX,STOP_LOSS_SHORT,,,-1400.0,28.74925
2026-06-02 10:00:00,HC_IDX,STOP_LOSS_SHORT,,,-1800.0,67.0
2026-06-02 11:15:00,Y_IDX,CLOSE_LONG,,,1020.0,48.57
2026-06-02 11:15:00,I_IDX,CLOSE_LONG,,,-155900.0,100.0
2026-06-02 11:15:00,RB_IDX,CLOSE_SHORT,,,158050.0,50.0
2026-06-02 11:15:00,HC_IDX,OPEN_LONG,5.0,3403.0,,
2026-06-02 11:15:00,CF_IDX,OPEN_LONG,2.0,16345.0,,
2026-06-02 11:15:00,SR_IDX,OPEN_LONG,3.0,5471.0,,
2026-06-02 11:15:00,JM_IDX,OPEN_LONG,2.0,1404.5,,
