date,start_equity,end_equity,cash,market_value,daily_return,drawdown,turnover,trading_cost
2026-06-12,976057.8899500007,986373.8899500007,550365.8899500007,448531.0,0.010569045244363985,0.02989206181692361,0.0,0.0
2026-06-15,986373.8899500007,991038.2326500007,552624.2326500007,438414.0,0.004728777543205724,0.02530463718435787,1667196.0,1980.6573
2026-06-16,991038.2326500007,985346.2326500007,552624.2326500007,433926.0,-0.005743471656769281,0.03090277237467396,0.0,0.0
2026-06-17,985346.2326500007,982215.2326500007,552624.2326500007,431397.0,-0.003177563272941588,0.03398214013308571,0.0,0.0
2026-06-18,982215.2326500007,976715.2326500007,552624.2326500007,429192.0,-0.005599587358425596,0.039391441529209835,0.0,0.0
2026-06-22,976715.2326500007,968160.2326500007,552624.2326500007,432606.0,-0.008758950115673712,0.04780536397354472,0.0,0.0
2026-06-23,968160.2326500007,973000.9926500007,543076.9926500007,427777.0,0.00499995748301923,0.04304443127785347,804990.0,950.2400000000002
2026-06-24,973000.9926500007,967428.9926500007,543076.9926500007,423681.0,-0.005726612862772598,0.048524545346799584,0.0,0.0
2026-06-25,967428.9926500007,961803.9926500007,543076.9926500007,420439.0,-0.005814380220910982,0.05405678541101744,0.0,0.0
2026-06-26,961803.9926500007,960200.9926500007,543076.9926500007,403290.0,-0.0016666597479839426,0.05563335089065143,0.0,0.0
2026-06-29,960200.9926500007,962169.9926500007,543076.9926500007,406794.0,0.0020506123354089396,0.05369682099083899,0.0,0.0
2026-06-30,962169.9926500007,958582.1235500008,535614.1235500008,417440.0,-0.0037289347281743994,0.05722552377842809,968332.0,1145.8691000000001
2026-07-01,958582.1235500008,963542.1235500008,535614.1235500008,424967.0,0.005174308886161156,0.05234731742846888,0.0,0.0
2026-07-02,963542.1235500008,980876.1235500008,535614.1235500008,429591.0,0.01798987255080861,0.035299166446575145,0.0,0.0
2026-07-03,980876.1235500008,985799.1235500008,535614.1235500008,437091.0,0.0050189823993091074,0.030457349942371682,0.0,0.0
2026-07-06,985799.1235500008,1000897.1235500008,535614.1235500008,443911.0,0.015315493429969775,0.015608325855338593,0.0,0.0
2026-07-07,1000897.1235500008,996318.576400001,554421.576400001,439782.0,-0.004574443309179074,0.020111369762741225,1346693.0,1577.5471500000003
2026-07-08,996318.576400001,1006070.576400001,554421.576400001,439252.0,0.009788033898993345,0.010520186632740782,0.0,0.0
2026-07-09,1006070.576400001,995492.576400001,554421.576400001,434714.0,-0.01051417291006662,0.020923748481504596,0.0,0.0
2026-07-10,995492.576400001,1006498.576400001,554421.576400001,439838.0,0.011055833324042445,0.01009924463318785,0.0,0.0
2026-07-13,1006498.576400001,1020775.576400001,554421.576400001,439507.0,0.014184818870847622,0.0,0.0,0.0
2026-07-14,1020775.576400001,1015163.2311500013,564688.2311500013,446979.0,-0.0054981186656060934,0.0054981186656060934,1203085.0,1405.3452500000003
2026-07-15,1015163.2311500013,1011494.2311500013,564688.2311500013,451094.0,-0.0036141970940413875,0.009092444475143553,0.0,0.0
2026-07-16,1011494.2311500013,1012324.2311500013,564688.2311500013,448022.0,0.0008205681994412816,0.008279337246493759,0.0,0.0
2026-07-17,1012324.2311500013,1013416.2311500013,564688.2311500013,444400.0,0.0010787057806168356,0.007209562434824393,0.0,0.0
2026-07-20,1013416.2311500013,1028031.2311500013,564688.2311500013,467875.0,0.014421517586525366,0.0,0.0,0.0
2026-07-21,1028031.2311500013,1030365.7434000014,582994.7434000014,447371.0,0.002270857323457631,0.0,1456685.0,1737.4877500000002
2026-07-22,1030365.7434000014,1024607.7434000014,582994.7434000014,443410.0,-0.0055883069064386285,0.0055883069064386285,0.0,0.0
2026-07-23,1024607.7434000014,1048763.7434000014,582994.7434000014,460406.0,0.023575851495951095,0.0,0.0,0.0
2026-07-24,1048763.7434000014,1038506.7434000014,582994.7434000014,446373.0,-0.009780086377459706,0.009780086377459706,0.0,0.0
2026-07-27,1038506.7434000014,1049511.7434000014,582994.7434000014,459153.0,0.010596946115121379,0.0,0.0,0.0
2026-07-28,1049511.7434000014,1049479.7100000014,600617.7100000014,451532.0,-3.052219301167371e-05,3.052219301167371e-05,1175368.0,1375.0334000000003
